alpha3,Province/State,long,lat ,population,source_pop
ABW,total,-69.968338,12.52111,106766,NA
AFG,total,67.709953,33.93911,38928346,NA
AGO,total,17.873887,-11.202692,32866272,NA
AIA,total,-63.068615,18.220554,15003,NA
ALA,total,19.9156094,60.178524,29789,NA
ALB,total,20.168331,41.153332,2877797,NA
AND,total,1.601554,42.546245,77265,NA
ARE,total,53.847818,23.424076,9890402,NA
ARG,total,-63.616672,-38.416097,45195774,NA
ARM,total,45.038189,40.069099,2963243,NA
ASM,total,-170.132217,-14.270972,55191,NA
ATA,total,-0.071389,-75.250973,0,NA
ATF,total,69.348557,-49.280366,0,NA
ATG,total,-61.796428,17.060816,97929,NA
AUS,total,133.775136,-25.274398,25499884,NA
AUT,total,14.550072,47.516231,9006398,NA
AZE,total,47.576927,40.143105,10139177,NA
BDI,total,29.918886,-3.373056,11890784,NA
BEL,total,4.469936,50.503887,11589623,NA
BEN,total,2.315834,9.30769,12123200,NA
BES,total,-68.238533,12.1783609,25.157,NA
BFA,total,-1.561593,12.238333,20903273,NA
BGD,total,90.356331,23.684994,164689383,NA
BGR,total,25.48583,42.733883,6948445,NA
BHR,total,50.637772,25.930414,1701575,NA
BHS,total,-77.39628,25.03428,393244,NA
BIH,total,17.679076,43.915886,3280819,NA
BLM,total,-62.8333321,17.8999996,9877,NA
BLR,total,27.953389,53.709807,9449323,NA
BLZ,total,-88.49765,17.189877,397628,NA
BMU,total,-64.75737,32.321384,62278,NA
BOL,total,-63.588653,-16.290154,11673021,NA
BRA,total,-51.92528,-14.235004,212559417,NA
BRB,total,-59.543198,13.193887,287375,NA
BRN,total,114.727669,4.535277,437479,NA
BTN,total,90.433601,27.514162,771608,NA
BVT,total,3.413194,-54.423199,0,NA
BWA,total,24.684866,-22.328474,2351627,NA
CAF,total,20.939444,6.611111,4829767,NA
CAN,total,-106.346771,56.130366,37742154,NA
CCK,total,96.870956,-12.164165,596,NA
CHE,total,8.227512,46.818188,8654622,NA
CHL,total,-71.542969,-35.675147,19116201,NA
CHN,total,104.195397,35.86166,1439323776,NA
CIV,total,-5.54708,7.539989,26378274,NA
CMR,total,12.354722,7.369722,26545863,NA
COD,total,21.758664,-4.038333,89561403,NA
COG,total,15.827659,-0.228021,5518087,NA
COK,total,-159.777671,-21.236736,17564,NA
COL,total,-74.297333,4.570868,50882891,NA
COM,total,43.872219,-11.875001,869601,NA
CPV,total,-24.013197,16.002082,555987,NA
CRI,total,-83.753428,9.748917,5094118,NA
cruise,total,NA,,55,NA
CUB,total,-77.781167,21.521757,11326616,NA
CUW,total,-68.990021,12.16957,164093,NA
CXR,total,105.690449,-10.447525,1600,NA
CYM,total,-80.566956,19.513469,65722,NA
CYP,total,33.429859,35.126413,1207359,NA
CZE,total,15.472962,49.817492,10708981,NA
DEU,total,10.451526,51.165691,83783942,NA
DJI,total,42.590275,11.825138,988000,NA
DMA,total,-61.370976,15.414999,71986,NA
DNK,total,9.501785,56.26392,5792202,NA
DOM,total,-70.162651,18.735693,10847910,NA
DZA,total,1.659626,28.033886,43851044,NA
ECU,total,-78.183406,-1.831239,17643054,NA
EGY,total,30.802498,26.820553,102334404,NA
ERI,total,39.782334,15.179384,3546421,NA
ESH,total,-12.885834,24.215527,597339,NA
ESP,total,-3.74922,40.463667,46754778,NA
EST,total,25.013607,58.595272,1326535,NA
ETH,total,40.489673,9.145,114963588,NA
FIN,total,25.748151,61.92411,5540720,NA
FJI,total,179.414413,-16.578193,896445,NA
FLK,total,-59.523613,-51.796253,3480,NA
FRA,total,2.213749,46.227638,65273511,NA
FRO,total,-6.911806,61.892635,48863,NA
FSM,total,150.550812,7.425554,115023,NA
GAB,total,11.609444,-0.803689,2225734,NA
GBR,total,-3.435973,55.378051,67886011,NA
GEO,total,43.356892,42.315407,3989167,NA
GGY,total,-2.585278,49.465691,66697,NA
GGY-JEY,total,-2.364351,49.372284,173863,NA
GHA,total,-1.023194,7.946527,31072940,NA
GIB,total,-5.345374,36.137741,33691,NA
GIN,total,-9.696645,9.945587,13132795,NA
GLP,total,-62.067641,16.995971,400124,NA
GMB,total,-15.310139,13.443182,2416668,NA
GNB,total,-15.180413,11.803749,1968001,NA
GNQ,total,10.267895,1.650801,1402985,NA
GRC,total,21.824312,39.074208,10423054,NA
GRD,total,-61.604171,12.262776,112523,NA
GRL,total,-42.604303,71.706936,56770,NA
GTM,total,-90.230759,15.783471,17915568,NA
GUF,total,-53.125782,3.933889,298682,NA
GUM,total,144.793731,13.444304,168775,NA
GUY,total,-58.93018,4.860416,786552,NA
HKG,total,114.109497,22.396428,7496981,NA
HMD,total,73.504158,-53.08181,0,NA
HND,total,-86.241905,15.199999,9904607,NA
HRV,total,15.2,45.1,4105267,NA
HTI,total,-72.285215,18.971187,11402528,NA
HUN,total,19.503304,47.162494,9660351,NA
IDN,total,113.921327,-0.789275,273523615,NA
IMN,total,-4.548056,54.236107,85033,NA
IND,total,78.96288,20.593684,1380004385,NA
IOT,total,71.876519,-6.343194,2500,NA
IRL,total,-8.24389,53.41291,4937786,NA
IRN,total,53.688046,32.427908,83992949,NA
IRQ,total,43.679291,33.223191,40222493,NA
ISL,total,-19.020835,64.963051,341243,NA
ISR,total,34.851612,31.046051,8655535,NA
ITA,total,12.56738,41.87194,60461826,NA
JAM,total,-77.297508,18.109581,2961167,NA
JEY,total,-2.13125,49.214439,1197.8577,NA
JOR,total,36.238414,30.585164,10203134,NA
JPN,total,138.252924,36.204824,126476461,NA
KAZ,total,66.923684,48.019573,18776707,NA
KEN,total,37.906193,-0.023559,53771296,NA
KGZ,total,74.766098,41.20438,6524195,NA
KHM,total,104.990963,12.565679,16718965,NA
KIR,total,-168.734039,-3.370417,119449,NA
KNA,total,-62.782998,17.357822,53199,NA
KOR,total,127.766922,35.907757,51269185,NA
KWT,total,47.481766,29.31166,4270571,NA
LAO,total,102.495496,19.85627,7275560,NA
LBN,total,35.862285,33.854721,6825445,NA
LBR,total,-9.429499,6.428055,5057681,NA
LBY,total,17.228331,26.3351,6871292,NA
LCA,total,-60.978893,13.909444,183627,NA
LIE,total,9.555373,47.166,38128,NA
LKA,total,80.771797,7.873054,21413249,NA
LSO,total,28.233608,-29.609988,2142249,NA
LTU,total,23.881275,55.169438,2722289,NA
LUX,total,6.129583,49.815273,625978,NA
LVA,total,24.603189,56.879635,1886198,NA
MAC,total,113.543873,22.198745,649335,NA
MAF,total,-63.060001,18.075277,38666,NA
MAR,total,-7.09262,31.791702,36910560,NA
MCO,total,7.412841,43.750298,39242,NA
MDA,total,28.369885,47.411631,4033963,NA
MDG,total,46.869107,-18.766947,27691018,NA
MDV,total,73.22068,3.202778,540544,NA
MEX,total,-102.552784,23.634501,128932753,NA
MHL,total,171.184478,7.131474,59190,NA
MKD,total,21.745275,41.608635,2083374,NA
MLI,total,-3.996166,17.570692,20250833,NA
MLT,total,14.375416,35.937496,441543,NA
MMR,total,95.956223,21.913965,54409800,NA
MNE,total,19.37439,42.708678,628066,NA
MNG,total,103.846656,46.862496,3278290,NA
MNP,total,145.38469,17.33083,57559,NA
MOZ,total,35.529562,-18.665695,31255435,NA
MRT,total,-10.940835,21.00789,4649658,NA
MSR,total,-62.187366,16.742498,4992,NA
MTQ,total,-61.024174,14.641528,375265,NA
MUS,total,57.552152,-20.348404,1271768,NA
MWI,total,34.301525,-13.254308,19129952,NA
MYS,total,101.975766,4.210484,32365999,NA
MYT,total,45.166244,-12.8275,272815,NA
NAM,total,18.49041,-22.95764,2540905,NA
NCL,total,165.618042,-20.904305,285498,NA
NER,total,8.081666,17.607789,24206644,NA
NFK,total,167.954712,-29.040835,2.169,NA
NGA,total,8.675277,9.081999,206139589,NA
NIC,total,-85.207229,12.865416,6624554,NA
NIU,total,-169.867233,-19.054445,1626,NA
NLD,total,5.291266,52.132633,17134872,NA
NOR,total,8.468946,60.472024,5421241,NA
NPL,total,84.124008,28.394857,29136808,NA
NRU,total,166.931503,-0.522778,10824,NA
NZL,total,174.885971,-40.900557,4822233,NA
OMN,total,55.923255,21.512583,5106626,NA
Others,total,-123.393333,-48.876667,NA,NA
PAK,total,69.345116,30.375321,220892340,NA
PAN,total,-80.782127,8.537981,4314767,NA
PCN,total,-127.439308,-24.703615,67,NA
PER,total,-75.015152,-9.189967,32971854,NA
PHL,total,121.774017,12.879721,109581078,NA
PLW,total,134.58252,7.51498,18094,NA
PNG,total,143.95555,-6.314993,8947024,NA
POL,total,19.145136,51.919438,37846611,NA
PRI,total,-66.590149,18.220833,2860853,NA
PRK,total,127.510093,40.339852,25778816,NA
PRT,total,-8.224454,39.399872,10196709,NA
PRY,total,-58.443832,-23.442503,7132538,NA
PSE,total,35.233154,31.952162,5101414,NA
PYF,total,-149.406843,-17.679742,280908,NA
QAT,total,51.183884,25.354826,2881053,NA
REU,total,55.536384,-21.115141,895312,NA
ROU,total,24.96676,45.943161,19237691,NA
RUS,total,105.318756,61.52401,145934462,NA
RWA,total,29.873888,-1.940278,12952218,NA
SAU,total,45.079162,23.885942,34813871,NA
SDN,total,30.217636,12.862807,43849260,NA
SEN,total,-14.452362,14.497401,16743927,NA
SGP,total,103.819836,1.352083,5850342,NA
SGS,total,-36.587909,-54.429579,30,NA
SHN,total,-10.030696,-24.143474,6077,NA
SJM,total,23.670272,77.553604,2667,NA
SLB,total,160.156194,-9.64571,686884,NA
SLE,total,-11.779889,8.460555,7976983,NA
SLV,total,-88.89653,13.794185,6486205,NA
SMR,total,12.457777,43.94236,33931,NA
SOM,total,46.199616,5.152149,15893222,NA
SPM,total,-56.27111,46.941936,5794,NA
SRB,total,21.005859,44.016521,8737371,NA
SSD,total,31.3069782,6.8769908,11193725,NA
STP,total,6.613081,0.18636,219159,NA
SUR,total,-56.027783,3.919305,586632,NA
SVK,total,19.699024,48.669026,5459642,NA
SVN,total,14.995463,46.151241,2078938,NA
SWE,total,18.643501,60.128161,10099265,NA
SWZ,total,31.465866,-26.522503,1160164,NA
SXM,total,-63.0681,18.0347,42876,NA
SYC,total,55.491977,-4.679574,98347,NA
SYR,total,38.996815,34.802075,17500658,NA
TCA,total,-71.797928,21.694025,38717,NA
TCD,total,18.732207,15.454166,16425864,NA
TGO,total,0.824782,8.619543,8278724,NA
THA,total,100.992541,15.870032,69799978,NA
TJK,total,71.276093,38.861034,9537645,NA
TKL,total,-171.855881,-8.967363,1357,NA
TKM,total,59.556278,38.969719,6031200,NA
TLS,total,125.727539,-8.874217,1318445,NA
TON,total,-175.198242,-21.178986,105695,NA
TTO,total,-61.222503,10.691803,1399488,NA
TUN,total,9.537499,33.886917,11818619,NA
TUR,total,35.243322,38.963745,84339067,NA
TUV,total,177.64933,-7.109535,11792,NA
TWN,total,120.960515,23.69781,23816775,NA
TZA,total,34.888822,-6.369028,59734218,NA
UGA,total,32.290275,1.373333,45741007,NA
UKR,total,31.16558,48.379433,43733762,NA
UMI,total,166.647049,19.2823181,300,NA
URY,total,-55.765835,-32.522779,3473730,NA
USA,total,-95.712891,37.09024,331002651,NA
UZB,total,64.585262,41.377491,33469203,NA
VAT,total,12.453389,41.902916,801,NA
VCT,total,-61.287228,12.984305,110940,NA
VEN,total,-66.58973,6.42375,28435940,NA
VGB,total,-64.639968,18.420695,30231,NA
VIR,total,-64.896335,18.335765,104425,NA
VNM,total,108.277199,14.058324,97338579,NA
VUT,total,166.959158,-15.376706,307145,NA
WLF,total,-177.156097,-13.768752,11239,NA
WSM,total,-172.104629,-13.759029,198414,NA
YEM,total,48.516388,15.552727,29825964,NA
ZAF,total,22.937506,-30.559482,59308690,NA
ZMB,total,27.849332,-13.133897,18383955,NA
ZWE,total,29.154857,-19.015438,14862924,NA
ITA,Abruzzo,NA,NA,1311580,https://www.tuttitalia.it/regioni/
ITA,Basilicata,NA,NA,562869,https://www.tuttitalia.it/regioni/
ITA,P.A. Bolzano,NA,NA,531178,https://www.tuttitalia.it/regioni/
ITA,Calabria,NA,NA,1947131,https://www.tuttitalia.it/regioni/
ITA,Campania,NA,NA,5801692,https://www.tuttitalia.it/regioni/
ITA,Emilia-Romagna,NA,NA,4459477,https://www.tuttitalia.it/regioni/
ITA,Friuli Venezia Giulia,NA,NA,1215220,https://www.tuttitalia.it/regioni/
ITA,Lazio,NA,NA,5879082,https://www.tuttitalia.it/regioni/
ITA,Liguria,NA,NA,1550640,https://www.tuttitalia.it/regioni/
ITA,Lombardia,NA,NA,10060574,https://www.tuttitalia.it/regioni/
ITA,Marche,NA,NA,1525271,https://www.tuttitalia.it/regioni/
ITA,Molise,NA,NA,305617,https://www.tuttitalia.it/regioni/
ITA,Piemonte,NA,NA,4356406,https://www.tuttitalia.it/regioni/
ITA,Puglia,NA,NA,4029053,https://www.tuttitalia.it/regioni/
ITA,Sardegna,NA,NA,1639591,https://www.tuttitalia.it/regioni/
ITA,Sicilia,NA,NA,4999891,https://www.tuttitalia.it/regioni/
ITA,Toscana,NA,NA,3729641,https://www.tuttitalia.it/regioni/
ITA,P.A. Trento,NA,NA,541098,https://www.tuttitalia.it/regioni/
ITA,Umbria,NA,NA,882015,https://www.tuttitalia.it/regioni/
ITA,Valle d'Aosta,NA,NA,125666,https://www.tuttitalia.it/regioni/
ITA,Veneto,NA,NA,4905854,https://www.tuttitalia.it/regioni/
CHN,Hubei,NA,NA,5902000,NA
